EUCHQAR01CS1,Interface: FastEthernet4/0/20,  Port ID (outgoing port): GigabitEthernet2/0/22,EUCHPMDFCS1,10.52.248.233
EUCHPMDFCS1,Interface: GigabitEthernet2/0/24,  Port ID (outgoing port): GigabitEthernet0/0.1,EUCHPOCVCR1.yourdomain.com,10.52.216.62
EUCHPOCVCR1,Interface: GigabitEthernet0/0.1,  Port ID (outgoing port): GigabitEthernet2/0/24,EUCHPMDFCS1,10.52.216.59
EUCHPMDFCS1,Interface: GigabitEthernet2/0/24,  Port ID (outgoing port): GigabitEthernet0/0.1,EUCHPOCVCR1.yourdomain.com,10.52.216.62
EUCHPMDFCS1,Interface: GigabitEthernet1/0/22,  Port ID (outgoing port): GigabitEthernet0/1,EUCHPIDFA2CS3,10.52.216.57
EUCHPMDFCS1,Interface: GigabitEthernet1/0/22,  Port ID (outgoing port): GigabitEthernet0/1,EUCHPIDFA2CS3,10.52.216.57
EUCHPIDFA2CS3,Interface: FastEthernet0/22,  Port ID (outgoing port): GigabitEthernet0/4,EUCHPMDFCS29_Spare,10.52.216.31
EUCHPMDFCS29_Spare,Interface: GigabitEthernet0/4,  Port ID (outgoing port): FastEthernet0/22,EUCHPIDFA2CS3,10.52.216.57
EUCHPIDFA2CS3,Interface: GigabitEthernet0/1,  Port ID (outgoing port): GigabitEthernet1/0/22,EUCHPMDFCS1,10.52.216.59
EUCHPMDFCS1,Interface: GigabitEthernet2/0/24,  Port ID (outgoing port): GigabitEthernet0/0.1,EUCHPOCVCR1.yourdomain.com,10.52.216.62
EUCHPMDFCS1,Interface: GigabitEthernet1/0/22,  Port ID (outgoing port): GigabitEthernet0/1,EUCHPIDFA2CS3,10.52.216.57
EUCHPIDFA2CS3,Interface: GigabitEthernet0/2,  Port ID (outgoing port): GigabitEthernet0/4,EUCHPIDFA2CS2,10.52.216.58
EUCHPIDFA2CS2,Interface: GigabitEthernet0/3,  Port ID (outgoing port): GigabitEthernet1/0/4,EUCHPMDFCS1,10.52.216.59
EUCHPIDFA2CS2,Interface: GigabitEthernet0/4,  Port ID (outgoing port): GigabitEthernet0/2,EUCHPIDFA2CS3,10.52.216.57
EUCHQAR01CS1,Interface: GigabitEthernet5/0/22,  Port ID (outgoing port): GigabitEthernet0/0/1,EUCHQOCVPWLC1,10.52.248.40
